date,sender,receiver,text_count
20180901,7750-VHV12,6388-TABGU,10
20180901,7750-VHV12,9763-GRSKD,24
20180901,7750-VHV12,7469-LKBCI,22
20180901,7750-VHV12,8091-TTVAX,12
20180901,7750-VHV12,0280-XJGEX,15
20180901,7750-VHV12,5129-JLPIS,17
20180901,7750-VHV12,3655-SNQYZ,20
20180902,7750-VHV12,8191-XWSZG,14
20180902,7750-VHV12,9959-WOFKT,23
20180902,7750-VHV12,4190-MFLUW,23
20180902,7750-VHV12,4183-MYFRB,7
20180902,7750-VHV12,8779-QRDMV,23
20180902,7750-VHV12,1680-VDCWW,23
20180902,7750-VHV12,1066-JKSGK,22
20180903,7750-VHV12,3638-WEABW,7
20180903,7750-VHV12,6388-TABGU,12
20180903,7750-VHV12,9763-GRSKD,14
20180903,7750-VHV12,7469-LKBCI,23
20180903,7750-VHV12,8091-TTVAX,23
20180903,7750-VHV12,0280-XJGEX,12
20180903,7750-VHV12,5129-JLPIS,19
20180904,7750-VHV12,3655-SNQYZ,7
20180904,7750-VHV12,8191-XWSZG,22
20180904,7750-VHV12,9959-WOFKT,19
20180904,7750-VHV12,4190-MFLUW,19
20180904,7750-VHV12,4183-MYFRB,20
20180904,7750-VHV12,8779-QRDMV,14
20180904,7750-VHV12,1680-VDCWW,22
20180905,7750-VHV12,1066-JKSGK,12
20180905,7750-VHV12,3638-WEABW,7
20180905,7750-VHV12,6388-TABGU,20
20180905,7750-VHV12,9763-GRSKD,12
20180905,7750-VHV12,7469-LKBCI,14
20180905,7750-VHV12,8091-TTVAX,10
20180905,7750-VHV12,0280-XJGEX,12
20180906,7750-VHV12,5129-JLPIS,20
20180906,7750-VHV12,3655-SNQYZ,20
20180906,7750-VHV12,8191-XWSZG,7
20180906,7750-VHV12,9959-WOFKT,22
20180906,7750-VHV12,4190-MFLUW,7
20180906,7750-VHV12,4183-MYFRB,10
20180906,7750-VHV12,8779-QRDMV,19
20180907,7750-VHV12,1680-VDCWW,19
20180907,7750-VHV12,1066-JKSGK,12
20180907,7750-VHV12,3638-WEABW,10
20180907,7750-VHV12,6388-TABGU,23
20180907,7750-VHV12,9763-GRSKD,10
20180907,7750-VHV12,7469-LKBCI,20
20180907,7750-VHV12,8091-TTVAX,19
20180908,7750-VHV12,0280-XJGEX,7
20180908,7750-VHV12,5129-JLPIS,25
20180908,7750-VHV12,3655-SNQYZ,10
20180908,7750-VHV12,8191-XWSZG,20
20180908,7750-VHV12,9959-WOFKT,20
20180908,7750-VHV12,4190-MFLUW,14
20180908,7750-VHV12,4183-MYFRB,12
20180909,7750-VHV12,8779-QRDMV,22
20180909,7750-VHV12,1680-VDCWW,22
20180909,7750-VHV12,1066-JKSGK,23
20180909,7750-VHV12,3638-WEABW,23
20180909,7750-VHV12,6388-TABGU,22
20180909,7750-VHV12,9763-GRSKD,23
20180909,7750-VHV12,7469-LKBCI,19
20180910,7750-VHV12,8091-TTVAX,23
20180910,7750-VHV12,0280-XJGEX,10
20180910,7750-VHV12,5129-JLPIS,20
20180910,7750-VHV12,3655-SNQYZ,19
20180910,7750-VHV12,8191-XWSZG,22
20180910,7750-VHV12,9959-WOFKT,7
20180910,7750-VHV12,4190-MFLUW,22
20180911,7750-VHV12,4183-MYFRB,19
