iter	MultiClass
0	1.276794478
1	1.184475848
2	1.107491746
3	1.039402711
4	0.9799909866
5	0.9246345081
6	0.8805256757
7	0.8366804107
8	0.8003539779
9	0.7643468669
10	0.7297097623
11	0.7007719617
12	0.6748534376
13	0.6501861386
14	0.6276418003
15	0.6065631243
16	0.5863569188
17	0.5668691038
18	0.5469466189
19	0.5295303244
20	0.5137667548
21	0.4999078689
22	0.486367818
23	0.4727536626
24	0.4605233373
25	0.4504821455
26	0.4394951267
27	0.428317555
28	0.4180979368
29	0.4103189796
30	0.4020506098
31	0.3938291308
32	0.3847364824
33	0.3775104214
34	0.369664109
35	0.3618447589
36	0.3549960261
37	0.3486315783
38	0.3417594527
39	0.3368363408
40	0.3323238348
41	0.3260807263
42	0.3206625
43	0.31490209
44	0.3095235757
45	0.3037924562
46	0.2991314485
47	0.2944188791
48	0.2904853097
49	0.2876578854
50	0.2839632943
51	0.2790133712
52	0.2758044769
53	0.2717687557
54	0.2681074508
55	0.2639680557
56	0.2613601813
57	0.2578963299
58	0.2548985628
59	0.2522479399
60	0.2490812856
61	0.2459500891
62	0.2423841885
63	0.2398651285
64	0.2380588172
65	0.2354233812
66	0.2326784662
67	0.2307137267
68	0.2278568099
69	0.2265664126
70	0.2240745139
71	0.2227930656
72	0.2210921373
73	0.2186112989
74	0.2172409232
75	0.2153363007
76	0.2131491189
77	0.2114431901
78	0.2103914673
79	0.2082360542
80	0.2058323911
81	0.2037909681
82	0.2026449187
83	0.2007940447
84	0.1988118754
85	0.1967747113
86	0.1949002665
87	0.193742963
88	0.1916977592
89	0.1904607412
90	0.1888106308
91	0.1875550455
92	0.1859176381
93	0.1847016075
94	0.1830213516
95	0.1815125169
96	0.1801573737
97	0.1790576981
98	0.1768843717
99	0.1759705228
100	0.1746253128
101	0.1735358649
102	0.1723086596
103	0.1709408365
104	0.1690379291
105	0.1678659004
106	0.1666657795
107	0.1655993299
108	0.1645722591
109	0.1632542799
110	0.1621915762
111	0.1613146433
112	0.1597124234
113	0.1587799391
114	0.1580624637
115	0.1574415422
116	0.1565047855
117	0.1556297766
118	0.1547187115
119	0.1533190795
120	0.1525706676
121	0.1522469502
122	0.1508222502
