iter	Passed	Remaining
0	14	14342
1	20	9985
2	28	9506
3	32	8130
4	36	7248
5	40	6674
6	53	7588
7	56	7040
8	60	6669
9	63	6297
10	66	5982
11	72	5946
12	76	5814
13	78	5559
14	81	5343
15	85	5235
16	88	5106
17	92	5067
18	95	4919
19	97	4775
20	100	4676
21	104	4655
22	109	4634
23	114	4654
24	117	4573
25	119	4491
26	124	4504
27	130	4516
28	136	4560
29	139	4507
30	143	4472
31	149	4516
32	154	4524
33	157	4469
34	159	4405
35	162	4344
36	167	4367
37	175	4454
38	177	4384
39	180	4332
40	183	4286
41	187	4277
42	191	4271
43	194	4229
44	197	4193
45	200	4151
46	204	4141
47	206	4096
48	208	4055
49	211	4010
50	213	3971
51	216	3947
52	219	3914
53	221	3882
54	224	3861
55	227	3835
56	229	3798
57	233	3798
58	236	3773
59	238	3741
60	241	3721
61	244	3702
62	249	3715
63	251	3681
64	253	3650
65	256	3623
66	259	3617
67	261	3589
68	266	3598
69	268	3569
70	270	3545
71	273	3519
72	275	3493
73	278	3485
74	282	3484
75	284	3463
76	286	3436
77	288	3412
78	290	3387
79	293	3380
80	298	3383
81	300	3367
82	302	3347
83	304	3325
84	307	3305
85	311	3309
86	313	3291
87	315	3271
88	317	3253
89	320	3235
90	322	3217
91	324	3202
92	326	3187
93	328	3169
94	330	3152
95	333	3141
96	335	3125
97	337	3110
98	341	3105
99	343	3095
100	345	3078
101	347	3062
102	349	3045
103	352	3032
104	354	3019
105	358	3024
106	360	3011
107	362	2995
108	364	2980
109	366	2967
110	368	2952
111	371	2941
112	375	2945
113	377	2930
114	378	2916
115	380	2901
116	382	2888
117	384	2877
118	388	2875
119	390	2864
120	392	2852
121	394	2839
122	396	2827
123	398	2814
124	400	2803
125	404	2808
126	407	2798
127	409	2787
128	411	2777
129	413	2767
130	415	2755
131	417	2746
132	424	2765
133	427	2765
134	430	2758
135	433	2755
136	437	2756
137	440	2751
138	443	2744
139	445	2737
140	448	2729
141	452	2733
142	454	2724
143	457	2717
144	459	2710
145	461	2701
146	465	2699
147	467	2693
148	472	2697
149	474	2689
150	476	2681
151	481	2686
152	483	2678
153	486	2670
154	488	2665
155	492	2662
156	494	2657
157	500	2666
158	502	2658
159	504	2649
160	506	2641
161	509	2637
162	512	2629
163	515	2626
164	519	2629
165	521	2619
166	523	2611
167	525	2604
168	528	2599
169	530	2591
170	533	2588
171	536	2584
172	540	2582
173	542	2575
174	545	2569
175	547	2561
176	549	2554
177	552	2552
178	556	2550
179	558	2545
180	560	2538
181	563	2532
182	565	2525
183	568	2519
184	570	2514
185	575	2517
186	577	2509
187	579	2502
188	581	2493
189	583	2485
190	585	2477
191	587	2470
192	589	2462
193	594	2468
194	595	2459
195	597	2452
196	599	2444
197	601	2436
198	603	2429
199	607	2430
200	612	2434
201	614	2427
202	616	2419
203	618	2411
204	620	2404
205	623	2404
206	625	2397
207	628	2391
208	630	2385
209	632	2377
210	633	2370
211	636	2365
212	639	2361
213	641	2355
214	644	2353
215	646	2348
216	649	2343
217	652	2341
218	655	2337
219	657	2330
220	659	2323
221	661	2317
222	663223	66223	668	2314
224	671	2313
225	673226	67226	675227	67227	677228	68228	679229	68229	684	2290
230	686	2283
231	688	2278
232	689233	69233	692	2266
234	694	2260
235	696	2254
236	700	2255
237	704	2253
238	706	2250
239	709	2245
240	711	2241
241	714	2239
242	717	2236
243	720	2231
244	722	2225
245	724	2220
246	727	2218
247	731	2219
248	733	2213
249	735	2207
250	737	2201
251	740	2198
252	743	2194
253	746	2191
254	749	2189
255	751	2183
256	752	2176
257	754	2170
258	756	2165
259	759	2160
260	764	2163
261	768	2164
262	770	2159
263	772	2153
264	774	2147
265	779	2149
266	782	2146
267	783	2141
268	787	2139
269	789	2133
270	793	2133
271	795	2128
272	797	2122
273	799	2118
274	801	2112
275	803	2107
276	809	2111
277	810	2105
278	812	2100
279	815	2096
280	817	2092
281	820	2090
282	826	2093
283	829	2090
284	831	2086
285	833	2082
286	836	2077
287	838	2073
288	842	2072
289	845	2069
290	847	2065
291	849	2060
292	852	2056
293	856	2057
294	858	2052
295	861	2049
296	864	2045
297	866	2041
298	869	2037
299	873	2037
300	875	2033
301	877	2029
302	880	2025
303	882	2021
304	885	2018
305	889	2017
306	892	2014
307	894	2009
308	896	2004
309	899	2002
310	903	2001
311	907	2000
312	909	1996
313	912314	91314	915	1990
315	918316	92316	923317	92317	925318	93318	929319	93319	932320	93320	935	1979
321	938322	94322	940323	94323	943324	94324	946325	95325	951326	95326	954327	95327	956328	96328	958329	96329	960330	96330	962331	96331	966332	971	1945
333	97333	971334	974	1935
335	977	1930
336	978	1925
337	980	1921
338	986	1923
339	988	1918
340	990	1913
341	992	1909
342	994	1904
343	995	1899
344	1000	1899
345	1003	1896
346	1004	1891
347	1347	1004	348	1009	1882
349	1011	1878
350	1014	1875
351	1018	1874
352	1020	1869
353	1022	1865
354	1024	1861
355	1026	1857
356	1028	1852
357	1030	1848
358	1033	1844
359	1035	1840
360	1037	1835
361	1039	1831
362	1041	1828
363	1043	1823
364	1046	1821
365	1048	1817
366	1050	1812
367	1052	1807
368	1054	1803
369	1057	1799
370	1058	1795
371	1061	1792
372	1063	1788
373	1065	1783
374	1067	1779
375	1069	1774
376	1071	1769
377	1072	1765
378	1074	1761
379	1076	1757
380	1078	1752
381	1080	1748
382	1083	1744
383	1085	1741
384	1087	1737
385	1089	1732
386	1091	1729
387	1094	1725
388	1096	1721
389	1098	1718
390	1100	1714
391	1103	1711
392	1105	1707
393	1108	1705
394	1112	1703
395	1115	1701
396	1117	1696
