iter	MultiClass
0	1.285890846
1	1.202788037
2	1.12899672
33	1.07469426344	1.02118537555	0.976071712666	0.935593278177	0.901628606288	0.8660864956
9	0.8341519336110	0.8066312469
11	0.7813932566
12	0.7603680038
13	0.7356380497
14	0.7141603375
15	0.6996630977
16	0.6842887742
17	0.6695287549
18	0.6562868153
19	0.6423995551
20	0.6291304136
21	0.6149828388
22	0.6041955332
23	0.5920387034
24	0.5809055226
25	0.5733000687
26	0.5648821742
27	0.5551945993
28	0.545156136
29	0.5375133579
30	0.5301889255
31	0.5210714109
32	0.5159937192
33	0.5080969989
34	0.5003410075
35	0.4952211552
36	0.4887428587
37	0.4822786067
38	0.4761991249
39	0.4715101828
40	0.4670436033
41	0.4607808259
42	0.455232961
43	0.4511386906
44	0.4463451462
45	0.4422946246
46	0.4375806668
47	0.434025401
48	0.4299792307
49	0.4269092607
50	0.4224732571
51	0.4187389043
52	0.4162907144
53	0.4126731931
54	0.4092148928
55	0.4055683711
56	0.4029806582
57	0.4007509979
58	0.3967855855
59	0.394723584
60	0.3911711908
61	0.3874154862
62	0.3849195621
63	0.3826836465
64	0.3795769216
65	0.3766816168
66	0.3731537643
67	0.3715758682
68	0.3688557904
69	0.3667385609
70	0.3642701022
71	0.3611029053
72	0.3582082155
73	0.3561916569
74	0.3529811959
75	0.3511992511
76	0.3487958418
77	0.3465447706
78	0.3447970496
79	0.3428060558
80	0.340435509
81	0.3381025799
82	0.3360895525
83	0.3345913303
84	0.3322734173
85	0.3301465692
86	0.3286297283
87	0.3264147927
88	0.3243683792
89	0.3224604088
90	0.3198930227
91	0.3181083736
92	0.3164818498
93	0.3135666225
94	0.3118597797
95	0.310301028
96	0.3086474068
97	0.3070815767
98	0.3056280837
99	0.3039133511
100	0.3023903399
101	0.3008294159
102	0.298955125
103	0.2974838542
104	0.2960835079
105	0.2943181639
106	0.2919720549
107	0.290150728
108	0.2883161193
109	0.2870297137
110	0.2847830182
111	0.2829440934
112	0.2818965137
113	0.2806367287
114	0.2793510908
115	0.2778918281
116	0.2760946362
117	0.2744721267
118	0.2731692403
119	0.2718943291
120	0.2703804389
121	0.2687801175
122	0.2671962755
123	0.2656610536
124	0.2644959975
125	0.2633674717
126	0.2619696471
127	0.2604565309
128	0.2589162581
129	0.2577360715
130	0.2565273495
131	0.2554481532
132	0.2542674488
133	0.2531571144
134	0.2517039394
135	0.2498725511
136	0.2486284729
137	0.2477161446
138	0.2466698889
139	0.2456159468
140	0.2445920828
141	0.2434273781
142	0.2422023293
143	0.241587321
144	0.2402827857
145	0.2394057702
146	0.2381012198
147	0.2373957636
148	0.2364134594
149	0.2357262497
150	0.234630363
151	0.2336821613
152	0.2326214865
153	0.2318679744
154	0.2310074222
155	0.2299525956
156	0.2291891521
157	0.2281870342
158	0.2274969546
159	0.226595639
160	0.2256894432
161	0.2248931166
162	0.2240496617
163	0.2231463331
164	0.2220006528
165	0.2209572697
166	0.2201990911
167	0.2193104144
168	0.2186685241
169	0.2178866332
170	0.2167750984
171	0.215848025
172	0.2150432814
173	0.2140730463
174	0.213417284
175	0.2126868832
176	0.2121158019
177	0.2115443327
178	0.2107943847
179	0.2101948214
180	0.2090741997
181	0.2084441254
182	0.2075819977
183	0.2069264737
184	0.2061939385
185	0.2057225413
186	0.2050675762
187	0.2045458681
188	0.2036811034
189	0.2027968449
190	0.2021201305
191	0.2014952399
192	0.2005886027
193	0.1998169042
194	0.1989152958
195	0.1983234374
196	0.1976501477
197	0.1968733281
198	0.1962630146
199	0.1956790686
200	0.1950299604
201	0.1942848466
202	0.193830549
203	0.1932333309
204	0.1924203383
205	0.1917474634
206	0.1910143105
207	0.1904688702
208	0.1898556987
209	0.1890751479
210	0.1882958711
211	0.1876669967
212	0.1870586938
213	0.1865090765
214	0.1860194049
215	0.1853582253
216	0.1845522911
217	0.1838130767
218	0.1831941802
219	0.1826161685
220	0.1820476927
221	0.1815655089
222	0.181075815
223	0.1802783944
224	0.1796248188
225	0.1789210926
226	0.1783833131
227	0.1776743041
228	0.1772486421
229	0.1765827268
230	0.1761705463
231	0.1756098247
232	0.1751576079
233	0.1744633212
234	0.173893083
235	0.173375107
236	0.1725960924
237	0.1719134511
238	0.1715232852
239	0.1710041557
240	0.1704653119
241	0.1698422314
242	0.1692256607
243	0.1689579328
244	0.168478761
245	0.1678566629
246	0.167298166
247	0.1666908984
248	0.1659939686
249	0.1652807952
250	0.1648279547
251	0.1643976359
252	0.1639393246
253	0.1633655314
254	0.1629221499
255	0.1625693923
256	0.1622133353
257	0.1616554512
258	0.1612245004
259	0.1607347235
260	0.160125489
261	0.15978716
262	0.1594402051
263	0.1589599684
264	0.1583633682
265	0.1579054305
266	0.1574465472
267	0.1570992252
268	0.1564821545
269	0.1558959673
270	0.1553878913
