iter	Passed	Remaining
0	8	8325
1	12	6034
2	16	5528
3	23	5742
4	39	7908
5	47	7798
6	74	10637
7	103	12877
8	114	12585
9	126	12554
10	146	13138
11	188	15553
12	206	15661
13	224	15834
14	229	15082
15	244	15050
16	259	15018
17	288	15736
18	298	15422
19	312	15327
20	321	15006
21	328	14594
22	337	14353
23	359	14600
24	376	14687
25	410	15373
26	422	15225
27	426	14807
28	438	14673
29	446	14433
30	459	14353
31	462	13979
32	466	13666
33	470	13367
34	473	13058
35	478	12825
36	482	12566
37	486	12314
38	489	12068
39	494	11870
40	500	11697
41	509	11613
42	519	11571
43	524	11391
44	530	11266
45	535	11109
46	539	10931
47	544	10803
48	548	10638
49	553	10518
50	557	10373
51	562	10257
52	565	10110
53	569	9981
54	573	9848
55	576	9717
56	580	9598
57	584	9488
58	586	9362
59	592	9281
60	597	9193
61	600	9088
62	606	9017
63	609	8912
64	611	8801
65	614	8691
66	616	8584
67	618	8482
68	623	8417
69	627	8335
70	630	8248
71	632	8156
72	635	8074
73	640	8015
74	642	7929
75	645	7847
76	648	7768
77	651	7699
78	654	7631
79	657	7562
80	661	7499
81	669	7495
82	673	7435
83	675	7367
84	678	7303
85	683	7260
86	686	7204
87	689	7141
88	691	7082
89	694	7026
90	704	7038
91	707	6984
92	714	6964
93	718	6923
94	724	6900
95	733	6907
96	738	6872
97	741	6822
98	745	6785
99	749	6745
100	754	6720
101	758	6678
102	765	6665
103	768	6622
104	771	6579
105	775	6543
106	779	6507
107	784	6475
108	787	6436
109	790	6399
110	795	6371
111	800	6350
112	806	6328
113	810	6301
114	814	6271
115	820	6250
116	824	6224
117	829	6198
118	833	6170
119	836	6137
120	845	6145
121	855	6154
122	872	6220
123	876	6194
124	880	6161
125	884	6134
126	893	6138
127	897	6112
128	901	6087
129	908	6077
130	912	6053
131	925	6087
132	929	6058
133	933	6030
134	938	6013
135	944	5997
136	947	5965
137	950	5936
138	956	5923
139	958	5890
140	961	5857
141	964	5826
142	967	5795
143	969	5765
144	972	5735
145	975	5706
146	978	5675
147	980	5645
148	986	5634
149	989	5608
150	992	5582
151	995	5553
152	998	5525
153	1001	5503
154	1004	5475
155	1007	5453
156	1010	5424
157	1013	5398
158	1015	5371
159	1019	5352
160	1023	5334
161	1026	5308
162	1028	5283
163	1031	5259
164	1034	5235
165	1038	5217
166	1041	5194
167	1043	5169
168	1046	5144
169	1050	5127
170	1054	5110
171	1056	5087
172	1059	5065
173	1064	5053
174	1071	5052
175	1074	5030
176	1076	5007
177	1083	5001
178	1089	4997
179	1093	4979
180	1097	4967
181	1103	4957
182	1106	4938
183	1109	4920
184	1114	4910
185	1118	4893
186	1122	4879
187	1125	4861
188	1131	4855
189	1134	4835
190	1148	4863
191	1151	4847
192	1154	4828
193	1165	4843
194	1169	4827
195	1171	4807
196	1174	4786
197	1179	4777
198	1183	4762
199	1185	4742
200	1188	4723
201	1191	4705
202	1196	4697
203	1199	4680
204	1202	4661
205	1204	4643
206	1209	4631
207	1211	4613
208	1214	4597
209	1217	4579
210	1220	4563
211	1226	4557
212	1229	4544
213	1235	4537
214	1238	4521
215	1244	4515
216	1246	4498
217	1249	4482
218	1252	4465
